input,cores,chunk_size,run1s,run1e,run2s,run2e,run3s,run3e,run4s,run4e,run5s,run5e
30000,52,32,4.92,116.74,0.66,114.19,0.68,115.22,0.66,117.00,19.21,117.78
30000,52,64,21.21,110.29,0.65,113.12,20.90,111.96,0.65,112.11,0.65,111.92
30000,52,128,21.51,107.43,21.15,109.94,0.67,106.46,0.66,109.99,0.68,108.97
30000,52,256,0.67,106.78,23.26,106.43,21.44,108.64,0.66,108.41,16.77,104.93
30000,52,512,0.68,109.06,11.48,105.79,20.62,104.38,20.04,104.59,21.05,104.75
30000,52,1024,11.71,106.11,0.67,106.88,0.64,105.60,0.66,104.39,20.44,108.94
30000,52,2048,19.06,106.91,15.56,109.98,0.64,103.15,0.62,106.45,13.54,109.75
30000,52,4096,0.65,111.52,0.66,104.90,0.66,105.56,0.68,109.22,0.67,110.89
30000,56,1,17.72,1276.33,18.72,1208.37,19.13,1251.84,17.50,1142.90,18.77,1153.64
30000,56,10,0.62,158.08,0.63,162.72,0.65,161.18,0.64,159.03,0.66,160.70
30000,56,16,0.64,139.46,0.63,137.98,0.63,140.34,0.62,139.11,0.61,140.87
30000,56,32,15.89,128.34,20.72,127.65,16.07,127.21,0.62,126.63,0.67,127.83
30000,56,64,19.19,118.61,0.61,124.00,0.65,122.83,0.60,119.83,9.53,121.92
30000,56,128,0.61,120.13,0.62,114.06,20.17,120.92,0.62,117.37,0.63,119.66
30000,56,256,19.21,119.58,0.62,115.08,0.64,116.78,21.16,120.05,20.21,118.82
30000,56,512,17.21,119.06,0.61,113.19,0.61,111.97,0.63,117.96,16.90,115.90
30000,56,1024,20.13,120.56,20.12,119.26,20.37,117.74,0.62,120.02,0.63,122.17
30000,56,2048,17.40,120.55,23.19,123.47,0.61,115.64,15.57,120.38,0.63,120.44
30000,56,4096,13.47,114.80,0.62,122.51,0.63,120.84,0.61,117.54,0.61,117.53
30000,60,1,19.10,1056.62,17.85,1065.02,17.39,1014.41,16.95,1068.41,16.58,1058.82
30000,60,10,0.60,170.40,0.59,171.21,0.61,172.90,0.63,169.18,0.59,169.93
30000,60,16,0.58,150.79,0.59,148.79,0.60,148.46,19.64,147.66,0.60,149.42
30000,60,32,0.61,136.13,0.59,139.37,20.55,138.84,0.60,138.88,0.59,138.41
30000,60,64,14.35,132.61,13.11,132.96,0.60,127.13,0.57,133.61,0.59,126.61
30000,60,128,17.19,126.28,0.60,128.51,13.23,124.87,0.59,124.79,0.60,133.42
30000,60,256,19.05,125.84,14.85,124.56,0.58,121.95,17.98,118.79,18.64,125.18
30000,60,512,1.58,124.22,17.77,124.12,0.58,126.72,19.04,125.73,0.60,128.32
30000,60,1024,0.59,129.53,19.71,128.49,5.08,127.95,0.58,126.29,17.19,126.18
30000,60,2048,2.68,129.85,13.46,132.17,0.56,128.40,0.56,132.02,0.58,128.25
30000,60,4096,0.60,132.20,0.58,130.53,0.59,131.68,0.57,130.64,0.57,132.26
30000,64,1,17.81,1335.98,18.89,1344.73,16.61,840.96,15.64,1251.52,18.10,1354.63
30000,64,10,0.56,178.02,0.55,177.01,0.54,185.50,7.06,182.07,0.54,182.99
30000,64,16,0.55,160.10,0.56,162.42,19.55,162.35,0.54,162.49,0.55,161.55
30000,64,32,0.53,149.99,0.55,151.06,20.62,149.13,0.54,145.09,0.56,145.17
30000,64,64,19.67,145.46,0.55,142.00,18.82,141.68,13.47,147.15,12.34,140.24
30000,64,128,16.86,141.77,19.15,137.67,17.08,137.31,17.71,136.55,18.29,137.70
30000,64,256,8.93,132.90,21.48,136.14,0.53,134.37,0.54,136.86,0.54,132.96
30000,64,512,16.64,136.79,0.53,137.03,19.34,137.61,0.55,133.57,0.53,136.16
30000,64,1024,0.56,140.41,0.54,142.15,0.54,137.79,0.55,140.71,0.54,142.84
30000,64,2048,0.54,139.92,17.14,141.08,0.53,140.42,18.06,140.80,0.55,141.11
30000,64,4096,0.52,143.94,0.54,143.48,8.54,143.31,0.55,139.78,0.53,144.23
100000,1,1,293.54,704.72,293.58,705.04,293.57,703.78,293.57,704.97,293.65,705.40
100000,1,10,293.55,572.27,
